"map";"started_timestamp";"duration";"irl_duration";"game_id";"avg_elo";"num_players";"team_0_elo";"team_1_elo";"replay_enhanced";"leaderboard";"mirror";"patch";"raw_match_type";"game_type";"game_speed";"starting_age"
"oasis";"2023/11/08 20:25:49";"4613.8";"2714";"270636858";"932,166666666667";"6";"954,666666666667";"909,666666666667";FALSE;"team_random_map";FALSE;"95810";"8";"random_map";"normal";"dark"
"eruption";"2023/11/08 19:43:16";"3156.9";"1857";"270628907";"912,250000000000";"4";"933,500000000000";"891,000000000000";FALSE;"team_random_map";FALSE;"95810";"7";"random_map";"normal";"dark"
"megarandom";"2023/11/08 18:39:22";"455.6";"268";"270617783";"529,000000000000";"2";"520,000000000000";"538,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"yucatan";"2023/11/08 18:49:29";"1344.7";"791";"270619352";"523,500000000000";"2";"505,000000000000";"542,000000000000";FALSE;"random_map";FALSE;"95810";"6";"random_map";"normal";"dark"
"coastal_forest";"2023/10/29 19:01:24";"3128";"1840";"268504012";"941,125000000000";"8";"941,500000000000";"940,750000000000";TRUE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"arena";"2023/10/29 08:52:59";"3741.7";"2201";"268386737";"957,500000000000";"8";"962,500000000000";"952,500000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"arena";"2023/10/29 19:30:08";"5463.8";"3214";"268510774";"906,000000000000";"8";"889,250000000000";"922,750000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"arabia";"2023/10/30 20:19:24";"2349.4";"1382";"268723391";"911,750000000000";"4";"922,000000000000";"901,500000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"lombardia";"2023/10/30 19:25:49";"3942.3";"2319";"268712225";"898,000000000000";"6";"885,000000000000";"911,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"nomad";"2023/10/30 11:38:11";"2488.8";"1464";"268637114";"870,000000000000";"6";"872,000000000000";"868,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"socotra";"2023/10/31 19:53:12";"341.7";"201";"268914794";"1013,625000000000";"8";"1023,000000000000";"1004,250000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"socotra";"2023/10/31 19:45:18";"525.3";"309";"268913222";"962,166666666667";"6";"960,666666666667";"963,666666666667";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arena";"2023/10/31 19:59:37";"2805";"1650";"268916086";"969,375000000000";"8";"970,250000000000";"968,500000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"socotra";"2023/10/31 19:14:29";"2849.2";"1676";"268907012";"941,750000000000";"4";"944,500000000000";"939,000000000000";FALSE;"team_random_map";FALSE;"93001";"7";"random_map";"normal";"dark"
"scandanavia";"2023/10/22 13:50:12";"3277.6";"1928";"266993775";"571,000000000000";"2";"532,000000000000";"610,000000000000";TRUE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"enclosed";"2023/10/22 08:32:06";"2006";"1180";"266942763";"552,000000000000";"2";"539,000000000000";"565,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"megarandom";"2023/10/22 13:18:42";"2823.7";"1661";"266987177";"551,000000000000";"2";"548,000000000000";"554,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"amazon_tunnel";"2023/10/28 22:35:59";"4430.2";"2606";"268300990";"944,833333333333";"6";"933,333333333333";"956,333333333333";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"coastal_forest";"2023/10/28 19:24:11";"1553.8";"914";"268261683";"879,833333333333";"6";"888,666666666667";"871,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arena";"2023/10/28 19:42:57";"3077";"1810";"268265930";"899,333333333333";"6";"903,666666666667";"895,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"crater_lake";"2023/10/28 20:17:24";"2198.1";"1293";"268273588";"890,666666666667";"6";"887,666666666667";"893,666666666667";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"enclosed";"2023/10/28 17:33:27";"1106.7";"651";"268238020";"512,500000000000";"2";"505,000000000000";"520,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"enclosed";"2023/10/28 17:46:06";"91.8";"54";"268240512";"512,500000000000";"2";"503,000000000000";"522,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"lombardia";"2023/10/28 21:55:02";"3796.1";"2233";"268293448";"943,750000000000";"8";"952,750000000000";"934,750000000000";FALSE;"team_random_map";FALSE;"93001";"9";"random_map";"normal";"dark"
"scandanavia";"2023/10/28 18:32:23";"2187.9";"1287";"268250412";"503,000000000000";"2";"502,000000000000";"504,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"arena";"2023/10/28 17:47:56";"2886.6";"1698";"268241064";"522,500000000000";"2";"520,000000000000";"525,000000000000";FALSE;"random_map";FALSE;"93001";"6";"random_map";"normal";"dark"
"arena";"2023/10/19 18:58:09";"96.9";"57";"266375259";"933,166666666667";"6";"888,333333333333";"978,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"arabia";"2023/10/19 19:03:06";"4744.7";"2791";"266376206";"896,000000000000";"6";"876,333333333333";"915,666666666667";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
"crater_lake";"2023/10/19 19:56:23";"4448.9";"2617";"266386870";"869,000000000000";"6";"862,000000000000";"876,000000000000";FALSE;"team_random_map";FALSE;"93001";"8";"random_map";"normal";"dark"
